City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
200,Ixtapa,33,MX,2021-12-03 06:58:52,92,20.7,-105.2,74.23,2.42
201,Ilulissat,100,GL,2021-12-03 06:58:53,92,69.2167,-51.1,16.39,10.13
202,Souillac,75,MU,2021-12-03 06:58:53,70,-20.5167,57.5167,84.58,11.5
203,Sangar,86,RU,2021-12-03 06:58:53,97,63.9242,127.4739,-36.8,4.41
204,Los Llanos De Aridane,75,ES,2021-12-03 06:58:54,77,28.6585,-17.9182,60.12,5.99
205,Kavieng,69,PG,2021-12-03 06:58:54,73,-2.5744,150.7967,83.52,5.08
206,Sola,90,VU,2021-12-03 06:58:55,100,-13.8833,167.55,77.67,0.0
207,Clinton,94,US,2021-12-03 06:56:55,79,42.587,-82.9199,36.95,1.99
208,Wanning,82,CN,2021-12-03 06:58:55,40,18.8003,110.3967,73.49,15.77
209,Provideniya,100,RU,2021-12-03 06:58:56,96,64.3833,-173.3,25.9,24.36
210,Hasaki,0,JP,2021-12-03 06:58:56,47,35.7333,140.8333,59.4,18.7
211,Alofi,100,NU,2021-12-03 06:58:57,83,-19.0595,-169.9187,76.89,8.05
212,Kendari,100,ID,2021-12-03 06:58:57,60,-3.945,122.4989,87.85,4.05
213,Kenai,5,US,2021-12-03 06:58:57,82,60.5544,-151.2583,-0.98,9.13
214,Espoo,20,FI,2021-12-03 06:58:58,87,60.25,24.6667,17.76,10.36
215,Saint Anthony,90,US,2021-12-03 06:58:58,91,45.0205,-93.218,38.08,1.01
216,Nushki,95,PK,2021-12-03 06:58:59,15,29.5542,66.0215,70.16,8.43
217,Norman Wells,75,CA,2021-12-03 06:58:59,69,65.282,-126.8329,-16.56,12.66
218,La Libertad,100,EC,2021-12-03 06:59:00,84,-2.2333,-80.9,70.79,9.01
219,Fairbanks,1,US,2021-12-03 06:55:53,74,64.8378,-147.7164,-17.39,0.0
220,Piney Green,4,US,2021-12-03 06:59:00,69,34.716,-77.3202,58.95,8.55
221,Tarakan,40,ID,2021-12-03 06:59:01,62,3.3,117.6333,89.1,3.44
222,Tingi,3,TZ,2021-12-03 06:59:01,45,-11.3,35.0333,76.93,9.42
223,Vaitape,80,PF,2021-12-03 06:59:01,73,-16.5167,-151.75,81.43,21.39
224,Oranjemund,99,NA,2021-12-03 06:55:13,59,-28.55,16.4333,66.25,9.42
225,Petropavlovsk-Kamchatskiy,90,RU,2021-12-03 06:59:02,100,53.0452,158.6483,28.99,6.71
226,Muros,100,ES,2021-12-03 06:59:02,96,42.7762,-9.0603,52.99,3.18
227,Isangel,75,VU,2021-12-03 06:59:03,69,-19.55,169.2667,82.51,9.22
228,Cidreira,13,BR,2021-12-03 07:00:03,74,-30.1811,-50.2056,66.51,12.17
229,Visnes,90,NO,2021-12-03 07:00:04,93,59.3556,5.2242,35.22,13.8
230,Strezhevoy,100,RU,2021-12-03 07:00:09,91,60.7333,77.5889,26.58,15.3
231,Ponta Do Sol,45,PT,2021-12-03 07:00:11,73,32.6667,-17.1,64.71,6.82
232,Mogadishu,75,SO,2021-12-03 06:56:18,74,2.0371,45.3438,84.07,17.27
233,Mazamari,100,PE,2021-12-03 07:00:11,98,-11.3258,-74.5308,68.68,1.77
234,Dingle,79,PH,2021-12-03 07:00:12,79,10.9995,122.6711,81.19,12.95
235,Coahuayana,10,MX,2021-12-03 07:00:13,95,18.7333,-103.6833,73.09,3.27
236,Saint-Georges,100,GD,2021-12-03 07:00:14,82,12.0564,-61.7485,78.08,12.39
237,Te Anau,88,NZ,2021-12-03 07:00:14,92,-45.4167,167.7167,60.3,2.84
238,Krasnyy Chikoy,79,RU,2021-12-03 07:00:16,66,50.3643,108.7512,31.69,4.63
239,Talara,84,PE,2021-12-03 07:00:16,81,-4.5772,-81.2719,67.6,11.14
240,Alice,94,US,2021-12-03 07:00:17,98,27.7523,-98.0697,69.39,6.78
241,Gigmoto,95,PH,2021-12-03 07:00:17,73,13.7796,124.39,78.66,17.81
242,Vardo,100,NO,2021-12-03 07:00:18,57,70.3705,31.1107,20.95,14.63
243,Taksimo,98,RU,2021-12-03 07:00:18,97,56.3444,114.8794,4.03,2.24
244,Antigonish,100,CA,2021-12-03 07:00:18,96,45.6169,-61.9986,53.92,5.99
